Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#13 - >sp|Q9NW13|RBM28_HUMAN RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3	superfamily	130689	126	721	6.38182e-08	55.9686	cl31127	PABP-1234 superfamily	 - 	 - 
Q#14 - >sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1	specific	435003	931	1029	8.41683e-45	156.676	pfam15898	PRKG1_interact	 - 	cl23745
Q#14 - >sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1	superfamily	222980	43	272	2.98244e-21	98.1731	cl33707	PHA03095 superfamily	C	 - 
Q#14 - >sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1	specific	412019	658	714	4.19191e-20	84.5725	cd21944	IPD_MYPT1	 - 	cl40436
Q#15 - >sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3	specific	240271	25	1497	0	1700.24	PTZ00108	PTZ00108	 - 	cl36510
Q#16 - >sp|A6NIK2|LR10B_HUMAN Leucine-rich repeat-containing protein 10B OS=Homo sapiens OX=9606 GN=LRRC10B PE=4 SV=2	specific	227223	24	231	1.80017e-12	66.9154	COG4886	LRR	NC	cl34836
Q#17 - >sp|Q13409|DC1I2_HUMAN Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3	specific	225201	329	599	3.58103e-17	84.7551	COG2319	WD40	C	cl43672
Q#17 - >sp|Q13409|DC1I2_HUMAN Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3	specific	431925	133	163	3.2338e-14	66.4067	pfam11540	Dynein_IC2	 - 	cl13056
Q#18 - >sp|Q8N9T8|KRI1_HUMAN Protein KRI1 homolog OS=Homo sapiens OX=9606 GN=KRI1 PE=1 SV=3	specific	432888	498	586	1.76708e-41	145.712	pfam12936	Kri1_C	 - 	cl15178
Q#18 - >sp|Q8N9T8|KRI1_HUMAN Protein KRI1 homolog OS=Homo sapiens OX=9606 GN=KRI1 PE=1 SV=3	specific	428351	322	432	2.16666e-14	69.2172	pfam05178	Kri1	 - 	cl04969
Q#19 - >sp|Q9C0K0|BC11B_HUMAN B-cell lymphoma/leukemia 11B OS=Homo sapiens OX=9606 GN=BCL11B PE=1 SV=1	specific	395048	797	818	8.05656e-05	40.3613	pfam00096	zf-C2H2	 - 	cl23491
Q#19 - >sp|Q9C0K0|BC11B_HUMAN B-cell lymphoma/leukemia 11B OS=Homo sapiens OX=9606 GN=BCL11B PE=1 SV=1	specific	433230	810	835	0.000213348	38.8763	pfam13465	zf-H2C2_2	 - 	cl22375
Q#19 - >sp|Q9C0K0|BC11B_HUMAN B-cell lymphoma/leukemia 11B OS=Homo sapiens OX=9606 GN=BCL11B PE=1 SV=1	specific	433230	441	466	0.000254556	38.8763	pfam13465	zf-H2C2_2	 - 	cl22375
Q#19 - >sp|Q9C0K0|BC11B_HUMAN B-cell lymphoma/leukemia 11B OS=Homo sapiens OX=9606 GN=BCL11B PE=1 SV=1	specific	395048	428	449	0.000544842	37.6649	pfam00096	zf-C2H2	 - 	cl23491
Q#20 - >sp|Q5T1M5|FKB15_HUMAN FK506-binding protein 15 OS=Homo sapiens OX=9606 GN=FKBP15 PE=1 SV=2	specific	425560	193	286	1.08009e-29	113.445	pfam00254	FKBP_C	 - 	cl19519
Q#20 - >sp|Q5T1M5|FKB15_HUMAN FK506-binding protein 15 OS=Homo sapiens OX=9606 GN=FKBP15 PE=1 SV=2	superfamily	224117	563	902	3.08392e-20	97.4775	cl34174	Smc superfamily	N	 - 
Q#20 - >sp|Q5T1M5|FKB15_HUMAN FK506-binding protein 15 OS=Homo sapiens OX=9606 GN=FKBP15 PE=1 SV=2	superfamily	223021	951	1164	8.78605e-06	50.3221	cl33720	PHA03247 superfamily	N	 - 
Q#20 - >sp|Q5T1M5|FKB15_HUMAN FK506-binding protein 15 OS=Homo sapiens OX=9606 GN=FKBP15 PE=1 SV=2	superfamily	236669	397	491	0.00186403	42.7647	cl35903	PRK10263 superfamily	NC	 - 
Q#20 - >sp|Q5T1M5|FKB15_HUMAN FK506-binding protein 15 OS=Homo sapiens OX=9606 GN=FKBP15 PE=1 SV=2	superfamily	450165	70	168	0.00189847	38.8761	cl17171	PH-like superfamily	 - 	 - 
Q#21 - >sp|O00566|MPP10_HUMAN U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2	specific	427647	25	573	1.154e-178	518.747	pfam04006	Mpp10	 - 	cl27202
Q#22 - >sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5	specific	425844	198	281	1.19651e-46	151.04	pfam00736	EF1_GNE	 - 	cl00194
Q#22 - >sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5	specific	431375	159	186	1.04572e-08	49.8333	pfam10587	EF-1_beta_acid	 - 	cl11209
Q#23 - >sp|Q9Y5R5|DMRT2_HUMAN Doublesex- and mab-3-related transcription factor 2 OS=Homo sapiens OX=9606 GN=DMRT2 PE=1 SV=2	specific	425850	119	165	3.52627e-30	111.973	pfam00751	DM	 - 	cl02557
Q#24 - >sp|A7KAX9|RHG32_HUMAN Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1	specific	239849	368	562	3.21312e-128	399.955	cd04384	RhoGAP_CdGAP	 - 	cl02570
Q#24 - >sp|A7KAX9|RHG32_HUMAN Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1	specific	132831	127	241	9.10582e-81	261.068	cd07298	PX_RICS	 - 	cl02563
Q#24 - >sp|A7KAX9|RHG32_HUMAN Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1	specific	212769	263	316	2.62572e-32	120.247	cd11835	SH3_ARHGAP32_33	 - 	cl17036
Q#25 - >sp|Q9P281|BAHC1_HUMAN BAH and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BAHCC1 PE=1 SV=4	specific	240065	2512	2631	8.20863e-68	224.588	cd04714	BAH_BAHCC1	 - 	cl02608
Q#25 - >sp|Q9P281|BAHC1_HUMAN BAH and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BAHCC1 PE=1 SV=4	specific	410541	1969	2037	4.63832e-40	143.022	cd20470	Tudor_BAHCC1	 - 	cl02573
Q#25 - >sp|Q9P281|BAHC1_HUMAN BAH and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BAHCC1 PE=1 SV=4	superfamily	223021	850	1253	0.00418271	42.6181	cl33720	PHA03247 superfamily	N	 - 
Q#26 - >sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	specific	427119	18	117	6.98833e-58	180.87	pfam03066	Nucleoplasmin	 - 	cl03870
Q#26 - >sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	specific	435252	245	293	2.23628e-29	105.929	pfam16276	NPM1-C	 - 	cl24749
Q#27 - >sp|Q9NSI6|BRWD1_HUMAN Bromodomain and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=BRWD1 PE=1 SV=4	specific	99928	1313	1431	4.88228e-74	241.978	cd05496	Bromo_WDR9_II	 - 	cl02556
Q#27 - >sp|Q9NSI6|BRWD1_HUMAN Bromodomain and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=BRWD1 PE=1 SV=4	specific	238121	178	497	6.25515e-59	205.647	cd00200	WD40	 - 	cl29593
Q#27 - >sp|Q9NSI6|BRWD1_HUMAN Bromodomain and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=BRWD1 PE=1 SV=4	specific	99958	1149	1264	4.77634e-46	162.121	cd05529	Bromo_WDR9_I_like	 - 	cl02556
Q#28 - >sp|P20042|IF2B_HUMAN Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2	specific	214764	199	308	1.07806e-61	192.077	smart00653	eIF2B_5	 - 	cl17014
Q#29 - >sp|Q7Z401|MYCPP_HUMAN C-myc promoter-binding protein OS=Homo sapiens OX=9606 GN=DENND4A PE=1 SV=2	specific	426618	308	492	9.28529e-74	243.742	pfam02141	DENN	 - 	cl11519
Q#29 - >sp|Q7Z401|MYCPP_HUMAN C-myc promoter-binding protein OS=Homo sapiens OX=9606 GN=DENND4A PE=1 SV=2	specific	129037	559	632	2.55813e-22	91.9677	smart00801	dDENN	 - 	cl04084
Q#29 - >sp|Q7Z401|MYCPP_HUMAN C-myc promoter-binding protein OS=Homo sapiens OX=9606 GN=DENND4A PE=1 SV=2	specific	214824	194	276	1.47753e-19	84.6936	smart00800	uDENN	 - 	cl04085
Q#29 - >sp|Q7Z401|MYCPP_HUMAN C-myc promoter-binding protein OS=Homo sapiens OX=9606 GN=DENND4A PE=1 SV=2	superfamily	432946	808	848	5.14091e-05	42.3509	cl38385	PPR_2 superfamily	 - 	 - 
Q#30 - >sp|Q9GZR7|DDX24_HUMAN ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1	specific	350704	203	552	6.37351e-122	367.72	cd17946	DEADc_DDX24	 - 	cl28899
Q#30 - >sp|Q9GZR7|DDX24_HUMAN ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1	specific	223587	191	783	1.28354e-74	252.789	COG0513	SrmB	 - 	cl33924
Q#31 - >sp|Q86YW9|MD12L_HUMAN Mediator of RNA polymerase II transcription subunit 12-like protein OS=Homo sapiens OX=9606 GN=MED12L PE=1 SV=2	specific	432360	283	730	0	717.657	pfam12145	Med12-LCEWAV	 - 	cl13566
Q#31 - >sp|Q86YW9|MD12L_HUMAN Mediator of RNA polymerase II transcription subunit 12-like protein OS=Homo sapiens OX=9606 GN=MED12L PE=1 SV=2	specific	432359	1802	2019	6.25634e-76	251.303	pfam12144	Med12-PQL	 - 	cl25891
Q#31 - >sp|Q86YW9|MD12L_HUMAN Mediator of RNA polymerase II transcription subunit 12-like protein OS=Homo sapiens OX=9606 GN=MED12L PE=1 SV=2	specific	430647	106	161	1.83757e-17	78.3361	pfam09497	Med12	 - 	cl09730
Q#32 - >sp|Q9NU22|MDN1_HUMAN Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2	superfamily	227596	206	2313	0	1658.21	cl34967	MDN1 superfamily	C	 - 
Q#32 - >sp|Q9NU22|MDN1_HUMAN Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2	superfamily	227596	3713	5593	1.09016e-148	525.719	cl34967	MDN1 superfamily	N	 - 
Q#33 - >sp|Q86SE8|NPM2_HUMAN Nucleoplasmin-2 OS=Homo sapiens OX=9606 GN=NPM2 PE=1 SV=1	specific	427119	18	121	8.0981e-50	157.373	pfam03066	Nucleoplasmin	 - 	cl03870
Q#34 - >sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1	specific	224415	43	401	3.49379e-114	343.612	COG1498	SIK1	 - 	cl34282
Q#34 - >sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1	specific	429848	2	66	2.85398e-22	90.2161	pfam08156	NOP5NT	 - 	cl06964
Q#35 - >sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2	specific	428261	624	696	1.27585e-29	111.85	pfam05022	SRP40_C	 - 	cl04891
Q#36 - >sp|Q9BQ67|GRWD1_HUMAN Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=GRWD1 PE=1 SV=1	superfamily	453027	204	384	1.4385e-29	116.666	cl29593	WD40 superfamily	C	 - 
Q#36 - >sp|Q9BQ67|GRWD1_HUMAN Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=GRWD1 PE=1 SV=1	specific	432437	44	112	6.02068e-08	49.5077	pfam12265	CAF1C_H4-bd	 - 	cl13671
Q#37 - >sp|O00401|WASL_HUMAN Actin nucleation-promoting factor WASL OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2	specific	269916	40	138	2.97031e-51	169.631	cd01205	EVH1_WASP-like	 - 	cl17171
Q#37 - >sp|O00401|WASL_HUMAN Actin nucleation-promoting factor WASL OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2	specific	395634	202	259	2.67002e-18	78.5077	pfam00786	PBD	 - 	cl00113
Q#37 - >sp|O00401|WASL_HUMAN Actin nucleation-promoting factor WASL OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2	specific	409217	402	428	7.24351e-11	56.87	cd22074	WH2_N-WASP_r1	 - 	cl41728
Q#37 - >sp|O00401|WASL_HUMAN Actin nucleation-promoting factor WASL OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2	specific	409218	429	453	6.34472e-10	54.0017	cd22075	WH2_hN-WASP_r2_like	 - 	cl41728
Q#38 - >sp|Q9Y4E1|WAC2C_HUMAN WASH complex subunit 2C OS=Homo sapiens OX=9606 GN=WASHC2C PE=1 SV=4	specific	434577	937	1059	3.49516e-65	216.607	pfam15255	CAP-ZIP_m	 - 	cl21113
Q#38 - >sp|Q9Y4E1|WAC2C_HUMAN WASH complex subunit 2C OS=Homo sapiens OX=9606 GN=WASHC2C PE=1 SV=4	superfamily	240271	589	816	0.00348057	41.9556	cl36510	PTZ00108 superfamily	N	 - 
Q#39 - >sp|Q86VZ6|JAZF1_HUMAN Juxtaposed with another zinc finger protein 1 OS=Homo sapiens OX=9606 GN=JAZF1 PE=1 SV=2	superfamily	227516	169	230	8.61021e-16	75.9099	cl25788	SFP1 superfamily	N	 - 
Q#40 - >sp|O14787|TNPO2_HUMAN Transportin-2 OS=Homo sapiens OX=9606 GN=TNPO2 PE=1 SV=3	superfamily	227540	22	756	4.06738e-20	96.161	cl27231	KAP95 superfamily	 - 	 - 
Q#41 - >sp|Q6P158|DHX57_HUMAN Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens OX=9606 GN=DHX57 PE=1 SV=2	superfamily	224557	500	1296	1.5926e-170	530.74	cl34328	HrpA superfamily	 - 	 - 
Q#41 - >sp|Q6P158|DHX57_HUMAN Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens OX=9606 GN=DHX57 PE=1 SV=2	specific	270502	181	218	2.46572e-17	76.5801	cd14317	UBA_DHX57	 - 	cl21463
Q#41 - >sp|Q6P158|DHX57_HUMAN Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens OX=9606 GN=DHX57 PE=1 SV=2	specific	399058	322	419	6.21937e-07	49.2445	pfam05773	RWD	 - 	cl02687
Q#41 - >sp|Q6P158|DHX57_HUMAN Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens OX=9606 GN=DHX57 PE=1 SV=2	specific	436426	305	323	6.90559e-07	46.6386	pfam18345	zf_CCCH_4	 - 	cl39030
Q#42 - >sp|Q08999|RBL2_HUMAN Retinoblastoma-like protein 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=3	specific	410309	835	1024	7.72978e-133	401.198	cd20606	CYCLIN_RBL2	 - 	cl40454
Q#42 - >sp|Q08999|RBL2_HUMAN Retinoblastoma-like protein 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=3	specific	426479	417	609	1.52563e-98	310.275	pfam01858	RB_A	 - 	cl03387
Q#42 - >sp|Q08999|RBL2_HUMAN Retinoblastoma-like protein 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=3	specific	432200	104	239	1.46677e-59	200.118	pfam11934	DUF3452	 - 	cl13385
Q#42 - >sp|Q08999|RBL2_HUMAN Retinoblastoma-like protein 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=3	superfamily	425404	670	810	6.92484e-05	46.5576	cl41773	SP1-4_N superfamily	C	 - 
Q#42 - >sp|Q08999|RBL2_HUMAN Retinoblastoma-like protein 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=3	specific	410207	44	134	0.0013519	38.5457	cd00043	CYCLIN_SF	 - 	cl40454
Q#43 - >sp|Q96JM7|LMBL3_HUMAN Lethal(3)malignant brain tumor-like protein 3 OS=Homo sapiens OX=9606 GN=L3MBTL3 PE=1 SV=2	specific	439122	259	359	4.9699e-73	232.505	cd20132	MBT_L3MBTL3_rpt1	 - 	cl45897
Q#43 - >sp|Q96JM7|LMBL3_HUMAN Lethal(3)malignant brain tumor-like protein 3 OS=Homo sapiens OX=9606 GN=L3MBTL3 PE=1 SV=2	specific	439125	366	458	6.09695e-65	210.815	cd20135	MBT_L3MBTL3_rpt2	 - 	cl45897
Q#43 - >sp|Q96JM7|LMBL3_HUMAN Lethal(3)malignant brain tumor-like protein 3 OS=Homo sapiens OX=9606 GN=L3MBTL3 PE=1 SV=2	specific	439128	467	544	4.30042e-54	180.892	cd20138	MBT_L3MBTL3_rpt3	 - 	cl45897
Q#43 - >sp|Q96JM7|LMBL3_HUMAN Lethal(3)malignant brain tumor-like protein 3 OS=Homo sapiens OX=9606 GN=L3MBTL3 PE=1 SV=2	specific	188981	705	770	1.57542e-40	142.415	cd09582	SAM_Scm-like-3MBT3,4	 - 	cl15755
Q#44 - >sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1	specific	434287	479	562	2.86911e-42	147.994	pfam14887	HMG_box_5	 - 	cl00082
Q#44 - >sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1	specific	438816	297	379	9.2172e-39	138.356	cd22000	HMG-box_UBF1_rpt3	 - 	cl00082
Q#44 - >sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1	specific	438814	109	185	4.98692e-36	130.136	cd21998	HMG-box_UBF1_rpt1-like	 - 	cl00082
Q#44 - >sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1	specific	438819	565	650	1.43192e-34	126.26	cd22003	HMG-box_UBF1_rpt6-like	 - 	cl00082
Q#44 - >sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1	specific	438815	196	270	3.03534e-21	88.0795	cd21999	HMG-box_UBF1_rpt2	 - 	cl00082
Q#44 - >sp|P17480|UBF1_HUMAN Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1	specific	438817	405	470	3.77038e-19	81.9594	cd22001	HMG-box_UBF1_rpt4	 - 	cl00082
Q#45 - >sp|P80192|M3K9_HUMAN Mitogen-activated protein kinase kinase kinase 9 OS=Homo sapiens OX=9606 GN=MAP3K9 PE=1 SV=3	specific	271047	137	406	0	607.81	cd14145	STKc_MLK1	 - 	cl21453
Q#45 - >sp|P80192|M3K9_HUMAN Mitogen-activated protein kinase kinase kinase 9 OS=Homo sapiens OX=9606 GN=MAP3K9 PE=1 SV=3	specific	212992	56	113	1.8799e-37	134.123	cd12059	SH3_MLK1-3	 - 	cl17036
Q#45 - >sp|P80192|M3K9_HUMAN Mitogen-activated protein kinase kinase kinase 9 OS=Homo sapiens OX=9606 GN=MAP3K9 PE=1 SV=3	superfamily	225288	427	509	9.13452e-05	46.6212	cl43687	COG2433 superfamily	NC	 - 
Q#45 - >sp|P80192|M3K9_HUMAN Mitogen-activated protein kinase kinase kinase 9 OS=Homo sapiens OX=9606 GN=MAP3K9 PE=1 SV=3	superfamily	223039	903	1062	0.00437427	41.3101	cl33723	PHA03307 superfamily	NC	 - 
Q#46 - >sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4	specific	438795	91	161	7.8671e-42	135.617	cd21979	HMG-box_HMGB_rpt2	 - 	cl00082
Q#46 - >sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4	specific	438794	13	76	6.28113e-35	117.787	cd21978	HMG-box_HMGB_rpt1	 - 	cl00082
